transaction_id,date,customer_id,product_id,quantity,price,region
1,4/1/2025,556,348,7,3365.96,Indonesia
2,1/24/2025,685,467,10,1424.83,China
3,2/16/2025,80,414,5,6269.02,Philippines
4,9/24/2025,618,207,7,8945.82,France
5,2/1/2025,180,35,2,209.83,Indonesia
6,9/29/2025,82,654,1,7458.55,Poland
7,4/7/2025,892,854,7,4293.94,Central African Republic
8,12/29/2024,141,741,10,4388,Guatemala
9,8/5/2024,74,142,1,5902.7,China
10,9/20/2024,968,319,4,8265.53,China
11,5/19/2025,230,965,7,600.79,China
12,7/27/2025,689,754,1,7371.52,Uganda
13,2/6/2025,531,689,5,1124.64,Philippines
14,10/19/2025,569,790,8,6280.35,China
15,5/29/2025,249,77,6,7796.74,Spain
16,12/21/2024,212,424,5,9511.98,Sweden
17,7/26/2024,439,71,1,7222.22,Norway
18,6/2/2024,517,200,9,1692.26,Czech Republic
19,2/10/2024,311,516,3,7925.7,China
20,1/1/2024,648,241,8,7570.73,Norway
21,8/25/2024,571,735,6,7578.4,Brazil
22,4/22/2024,626,534,10,3167.33,China
23,7/11/2025,996,577,3,1448.8,Philippines
24,7/5/2025,187,694,1,5720.7,Poland
25,4/3/2024,225,543,10,4263.29,Philippines
26,8/4/2025,725,724,10,1179.01,Macedonia
27,10/22/2025,496,812,6,9115.77,Palestinian Territory
28,9/28/2025,839,821,6,1846.82,Indonesia
29,10/15/2025,528,362,5,7536.27,Mexico
30,9/16/2025,785,217,2,3809.32,Brazil
31,9/3/2025,780,593,10,5034.61,China
32,1/7/2024,579,792,2,4021.82,China
33,9/28/2024,151,336,1,9835.89,United States
34,7/19/2024,368,350,6,5399.54,Estonia
35,1/24/2025,827,356,5,8839.5,Indonesia
36,9/27/2025,325,258,5,1552.36,China
37,8/18/2025,276,589,5,5274.31,Czech Republic
38,10/11/2025,309,359,4,3610.98,Canada
39,12/31/2024,308,188,8,4660.58,Albania
40,4/22/2024,929,667,3,9946.5,Sweden
41,3/2/2025,847,98,8,8407.63,China
42,6/28/2024,629,95,10,296.97,China
43,11/29/2024,960,369,8,8527.02,Portugal
44,6/20/2024,854,72,1,9432.6,Portugal
45,1/5/2025,319,335,1,276.75,Brazil
46,5/19/2024,34,902,9,6057.69,Cape Verde
47,10/11/2024,640,519,10,8784.86,United States
48,1/26/2025,736,971,1,1264.13,Japan
49,12/18/2024,885,774,6,1494.95,Vietnam
50,1/27/2025,3,696,6,2722.42,Nicaragua
51,10/14/2025,436,416,6,3805,Indonesia
52,5/2/2025,862,438,6,8237.45,Poland
53,1/3/2024,749,266,5,2533.1,Bosnia and Herzegovina
54,8/19/2024,424,371,3,6385.83,Spain
55,11/21/2024,557,657,8,5061.57,Philippines
56,4/21/2025,202,357,3,412.57,Venezuela
57,10/15/2024,817,255,2,9556.96,Ethiopia
58,7/29/2024,40,647,5,6462.53,Russia
59,1/6/2025,606,306,6,5523.62,Russia
60,9/6/2025,216,447,4,7283.21,United States
61,2/22/2025,231,802,6,690.83,Panama
62,6/14/2025,737,683,2,5513.26,Russia
63,3/17/2025,480,383,9,7196.1,Democratic Republic of the Congo
64,8/15/2024,931,736,2,9804.23,Philippines
65,11/18/2024,262,125,3,2122.65,France
66,9/18/2024,788,768,4,7437.76,Egypt
67,5/13/2024,418,276,8,9859.18,China
68,1/23/2024,633,769,1,4884.09,Honduras
69,7/24/2024,789,177,3,8899.28,China
70,1/4/2025,589,53,5,9857.93,China
71,5/17/2025,697,235,3,6300.1,Brazil
72,3/2/2024,530,809,5,9744.42,Poland
73,12/1/2024,948,861,3,3637.46,Poland
74,9/28/2025,195,516,8,6401.66,Sweden
75,2/23/2024,990,539,7,3699.16,Indonesia
76,4/25/2025,526,596,5,7771.25,China
77,8/28/2024,720,79,10,4848.91,Greece
78,11/23/2024,406,649,5,8515.16,Brazil
79,1/25/2025,303,658,6,7534.75,Croatia
80,4/12/2024,639,734,10,6616.96,Nigeria
81,2/28/2025,558,473,8,1485.77,China
82,4/29/2025,839,505,5,8097.58,Philippines
83,12/11/2024,797,595,5,2516.84,Poland
84,5/23/2024,740,746,7,4311.73,Indonesia
85,11/18/2024,696,521,2,5000.33,Kosovo
86,9/3/2025,946,205,3,6023.6,Botswana
87,7/1/2024,104,844,6,4279.61,Japan
88,1/28/2025,654,721,2,4811.78,Indonesia
89,4/6/2025,46,755,8,6448.02,Peru
90,9/6/2024,764,293,10,303.29,Afghanistan
91,5/2/2025,926,352,2,9278.99,Indonesia
92,10/13/2024,702,206,1,8225.02,Nigeria
93,4/17/2025,773,723,4,3683.32,Brazil
94,4/2/2025,849,73,10,3348.5,Brazil
95,3/6/2025,359,356,7,6280.45,Poland
96,11/24/2024,697,114,2,1837.12,Serbia
97,7/12/2024,766,716,10,5518.31,Saint Pierre and Miquelon
98,9/19/2025,897,322,4,2195.61,Poland
99,7/28/2025,660,531,9,2924.38,Philippines
100,5/30/2025,669,957,2,478.45,Nigeria
101,3/28/2024,519,133,8,6421.64,Poland
102,11/14/2024,69,122,6,3754.27,Indonesia
103,10/17/2025,485,234,1,1999.01,Philippines
104,12/10/2024,610,622,10,4358.24,Colombia
105,2/13/2024,39,95,5,8302.95,China
106,10/4/2024,540,637,9,1925.25,Bulgaria
107,9/21/2024,344,793,7,8479.45,China
108,4/8/2025,223,476,7,9878.41,Philippines
109,12/1/2024,640,187,10,454.38,China
110,12/2/2024,357,700,7,1242.07,Tanzania
111,11/5/2024,89,707,2,6068.37,Russia
112,6/6/2025,52,371,2,3366.66,Costa Rica
113,11/29/2024,427,131,1,8253.7,China
114,1/6/2025,148,82,5,2721.1,France
115,7/17/2024,114,530,8,5495.39,China
116,6/21/2025,967,736,9,299.42,Philippines
117,2/1/2024,724,71,4,8736.01,France
118,2/12/2024,172,824,2,2276.59,Argentina
119,3/11/2024,802,253,3,4877.51,China
120,8/5/2024,154,250,3,4614.77,Serbia
121,9/1/2025,231,931,7,3935.35,Cyprus
122,6/12/2024,206,733,7,7932.39,Albania
123,10/12/2025,909,368,1,5178.85,United States
124,7/26/2024,746,387,3,5807.4,Australia
125,3/12/2025,195,144,8,1247.98,Lesotho
126,6/12/2024,281,93,10,5915.57,Indonesia
127,8/9/2024,710,624,6,3039.15,China
128,8/1/2025,7,485,8,4258.07,Indonesia
129,8/14/2025,670,1000,1,9225.13,China
130,5/30/2025,910,894,9,2380.34,Indonesia
131,2/2/2025,835,62,1,3603.72,Japan
132,4/2/2024,322,781,5,5692.03,Czech Republic
133,7/10/2025,351,547,6,7128.95,Bulgaria
134,2/7/2025,540,481,3,7420.57,Russia
135,11/23/2024,917,359,7,6660.84,Latvia
136,7/15/2025,790,517,8,1964.19,Philippines
137,6/5/2025,284,86,5,9291.27,Indonesia
138,2/16/2024,361,95,5,6408.31,Canada
139,8/22/2025,492,186,2,7370.09,Russia
140,9/16/2024,341,98,7,6298.36,Serbia
141,3/8/2024,911,752,9,8451.2,Indonesia
142,7/19/2025,820,568,3,8290.79,China
143,4/8/2024,799,611,5,1912.72,Indonesia
144,6/3/2024,807,396,7,1037.28,Russia
145,2/27/2025,506,229,1,4371.79,Poland
146,8/31/2024,481,563,7,4363.91,Kazakhstan
147,2/19/2024,656,196,1,7841.95,Colombia
148,2/22/2024,117,731,4,4240.28,Finland
149,5/11/2024,358,412,4,3992.13,Ukraine
150,8/18/2025,969,979,9,6824.85,China
151,6/7/2024,932,951,8,4788.1,China
152,3/28/2024,549,721,10,7950.86,United States
153,12/7/2024,11,632,8,6601.08,Peru
154,4/18/2024,905,656,8,5264.09,China
155,1/12/2024,181,331,4,6057.04,Russia
156,5/10/2025,283,561,3,2683.04,Indonesia
157,7/18/2025,23,371,6,799.56,China
158,1/31/2025,124,1,9,5284.81,Vietnam
159,3/25/2025,546,42,5,9262.64,El Salvador
160,1/24/2025,367,964,8,6979.37,Brazil
161,9/15/2025,859,937,4,579.57,Chad
