transaction_id,date,customer_id,product_id,quantity,price,region
1,5/11/2024,,,10,7713.7,Poland
2,2/12/2024,,,6,1679.71,Russia
3,10/28/2023,,,1,6408.31,Thailand
4,3/8/2023,,,6,5356.69,Japan
5,9/10/2024,,,1,9601.38,Vietnam
6,5/26/2024,,,8,3211.52,Poland
7,10/1/2023,,,10,6197.06,China
8,1/31/2024,,,3,3105.37,China
9,2/25/2024,,,9,5047.69,Indonesia
10,7/15/2024,,,3,2024.86,United States
11,10/4/2023,,,10,6669.48,Indonesia
12,6/23/2024,,,7,5308.77,China
13,5/14/2023,,,10,6666.77,China
14,9/7/2023,,,1,7461.38,Indonesia
15,11/3/2023,,,8,5321.19,Germany
16,2/6/2024,,,9,102.17,Poland
17,2/25/2024,,,8,6361.25,Bulgaria
18,7/11/2023,,,6,5656.28,Ukraine
19,7/28/2023,,,5,7523.06,Sweden
20,9/30/2023,,,10,998.52,China
21,9/12/2024,,,5,1788.11,Slovenia
22,8/29/2023,,,10,109.79,Thailand
23,4/20/2023,,,1,9251.11,Slovenia
24,6/1/2024,,,2,1151.84,Indonesia
25,6/15/2024,,,8,8116.88,China
26,11/28/2024,,,7,8233.56,Mexico
27,12/21/2023,,,10,5184.23,United States
28,11/28/2024,,,10,7087.76,Zambia
29,4/21/2024,,,6,9632.37,Netherlands
30,1/1/2023,,,6,9308.13,Netherlands
31,6/27/2023,,,7,9963.55,Mexico
32,7/25/2024,,,2,8696.91,Indonesia
33,1/27/2023,,,6,4918.85,Poland
34,1/14/2024,,,6,8874.64,China
35,12/3/2023,,,2,2159.8,Indonesia
36,11/10/2024,,,4,4732.23,Honduras
37,3/20/2024,,,8,9549.91,Philippines
38,6/4/2024,,,5,5881.05,China
39,5/17/2023,,,2,4655.81,Malaysia
40,8/9/2023,,,1,3998.46,South Africa
41,7/25/2023,,,1,9817.18,Morocco
42,1/31/2024,,,10,5071.16,Indonesia
43,1/4/2023,,,6,8929.41,China
44,10/18/2023,,,10,9709.51,Portugal
45,6/8/2024,,,2,9492.39,Malaysia
46,2/28/2024,,,9,2229.58,China
47,7/1/2023,,,7,2712.05,Russia
48,8/5/2023,,,5,9639.26,Equatorial Guinea
49,7/13/2023,,,3,3512.25,China
50,1/19/2024,,,8,9417.26,Poland
51,6/25/2024,,,10,2394.63,Indonesia
52,4/25/2024,,,6,2869.37,Indonesia
53,3/16/2024,,,2,5858.45,Colombia
54,5/7/2024,,,4,3771.24,Kazakhstan
55,5/8/2024,,,9,4996.98,China
56,2/26/2023,,,3,7206.32,China
57,1/1/2023,,,3,9248.17,Afghanistan
58,2/26/2024,,,5,6652.52,United States
59,8/24/2024,,,6,6915.27,Philippines
60,2/2/2024,,,10,7284.43,China
61,9/1/2024,,,8,8325.42,Sweden
62,12/1/2023,,,10,7251.93,Cuba
63,7/22/2023,,,10,1984.93,China
64,5/19/2024,,,5,1175.38,Rwanda
65,1/9/2024,,,10,4276.98,Portugal
66,9/22/2024,,,7,9278.82,Peru
67,5/7/2024,,,3,7176.55,Bolivia
68,4/26/2023,,,8,887.82,Honduras
69,6/27/2023,,,7,2485.95,Burkina Faso
70,5/7/2023,,,10,5798.29,Portugal
71,2/10/2023,,,5,6170.5,China
72,6/1/2024,,,10,4152.94,Croatia
73,4/29/2023,,,4,2192.5,Indonesia
74,11/10/2024,,,7,6223.61,France
75,12/14/2023,,,7,1293.68,Brazil
76,12/26/2023,,,8,2648.74,China
77,11/2/2024,,,5,5992.56,Indonesia
78,9/5/2024,,,3,2991.43,Ukraine
79,5/10/2023,,,10,5463.77,China
80,6/23/2023,,,3,9513.01,Argentina
81,1/2/2023,,,10,1463.91,Hungary
82,5/6/2023,,,6,6777.63,Burkina Faso
83,11/20/2024,,,1,5279.66,Finland
84,7/24/2024,,,6,4720.35,Russia
85,2/8/2023,,,5,9008.72,Peru
86,4/20/2024,,,2,7206.11,Cuba
87,10/17/2024,,,3,1506.89,Armenia
88,5/19/2024,,,6,1949.75,Indonesia
89,9/7/2024,,,2,6552.39,Czech Republic
90,3/23/2023,,,9,3432.67,China
91,11/15/2024,,,10,2584.55,France
92,4/19/2023,,,4,1861.17,China
93,4/16/2024,,,3,7359.63,Philippines
94,5/31/2023,,,2,5839.86,Philippines
95,1/14/2023,,,6,4366.12,France
96,4/22/2023,,,9,5552.57,China
97,9/21/2024,,,8,3561.99,China
98,9/29/2024,,,4,6017.15,Indonesia
99,1/4/2024,,,10,5803.4,Indonesia
100,2/16/2024,,,1,2253.89,Indonesia
101,2/24/2023,,,6,4172.27,France
102,1/10/2023,,,2,8362.2,China
103,4/4/2023,,,10,9710.96,Russia
104,9/15/2024,,,7,9149.5,China
105,11/12/2023,,,9,7956.19,China
106,7/20/2023,,,5,8762.3,Russia
107,8/24/2024,,,4,9106.09,France
108,12/10/2023,,,2,194.91,United Arab Emirates
109,10/14/2023,,,5,6331.7,Indonesia
110,11/24/2023,,,9,6708.23,Philippines
111,10/4/2024,,,10,3996.24,Argentina
112,4/28/2023,,,1,9588.08,China
113,8/17/2023,,,6,8890.57,Portugal
114,6/21/2023,,,5,6478.19,Thailand
115,3/30/2023,,,2,2314.49,China
116,2/5/2024,,,7,1534.3,Indonesia
117,2/22/2023,,,5,582.39,United States
118,11/22/2024,,,7,5792.16,China
119,12/11/2023,,,10,1966.79,Palestinian Territory
120,11/20/2023,,,9,4514.24,United States
121,5/24/2023,,,8,1666.27,Czech Republic
122,8/21/2023,,,6,5187.41,Sri Lanka
123,9/15/2023,,,2,4298.99,Bulgaria
124,3/5/2024,,,2,305.9,Mexico
125,3/24/2023,,,3,4861.16,Poland
126,2/1/2023,,,10,8637.06,Guatemala
127,8/23/2023,,,1,9495.29,Colombia
128,7/19/2024,,,10,4315.01,United States
129,5/6/2024,,,6,1100.54,Indonesia
130,8/13/2023,,,6,7311.92,Indonesia
131,8/1/2023,,,1,5614.39,China
132,3/8/2024,,,4,7003.63,Indonesia
133,7/2/2023,,,1,4530.81,Poland
134,11/23/2023,,,10,756.06,Belgium
135,5/8/2024,,,9,5904.64,Argentina
136,9/29/2024,,,4,5930.56,Nepal
137,5/16/2023,,,7,2815.46,Sweden
138,4/3/2024,,,5,8578.45,Poland
139,7/2/2024,,,8,1920.3,Greece
140,3/14/2024,,,10,6849.88,Syria
141,1/24/2023,,,7,2869.17,United States
142,5/2/2024,,,7,7289.65,China
143,1/1/2024,,,3,3370.69,Pakistan
144,8/29/2024,,,7,2322.15,United States
145,6/6/2023,,,10,3756.41,Peru
146,7/12/2024,,,8,3727.33,Greece
147,5/24/2023,,,3,1620.93,Russia
148,4/7/2024,,,9,6460.81,Ukraine
149,8/31/2023,,,9,9357.09,France
150,9/17/2023,,,5,2572.79,United States
151,9/5/2023,,,7,8868.45,Ukraine
152,9/12/2024,,,6,7353.63,China
